bbox_x,bbox_y,bbox_w,bbox_h,class_id,label,timestamp,confidence,real_detection,track_id,n
0.0,0.0,500.0,500.0,10,ignore_frame,1694357059.368,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357060.069,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357061.036,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357061.737,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357062.471,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357063.372,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357064.173,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357065.307,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357066.775,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357067.51,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357068.21,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357068.911,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357069.612,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357070.312,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357073.649,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357074.917,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357076.819,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694357077.887,2.0,1,99,1
874.0,16.0,14.0,15.0,0,vehicle,1694357078.587,1.0,True,206,20
955.0,70.0,15.0,15.0,0,vehicle,1694357078.587,1.0,True,216,20
1400.0,131.0,15.0,15.0,0,vehicle,1694357078.587,1.0,True,221,11
942.375,516.5,4.25,15.125,0,person,1694357078.587,2.0,1,99,1
946.5,518.25,4.875,12.375,0,person,1694357078.587,2.0,1,99,1
950.375,525.75,4.625,13.25,0,person,1694357078.587,2.0,1,99,1
956.5,527.125,8.5,12.875,0,person,1694357078.587,2.0,1,99,1
722.75,74.75,25.5,22.5,0,ignore_area,1694357078.587,2.0,1,99,1
935.0,513.0,15.0,15.0,0,person,1694357079.288,1.0,True,179,114
