bbox_x,bbox_y,bbox_w,bbox_h,class_id,label,timestamp,confidence,real_detection,track_id,n
985.0,514.0,15.0,32.0,0,object,1694324061.536,0.5681169033050537,1,0,62
876.0,475.0,16.0,33.0,0,ignore_area,1694324061.536,1.0,True,2,52
977.0,514.0,15.0,32.0,0,object,1694324061.536,0.5096344947814941,1,4,62
364.0,210.0,14.0,15.0,0,object,1694324061.536,0.6060824394226074,1,5,65
950.0,440.0,24.0,36.0,0,ignore_area,1694324061.536,1.0,True,6,68
946.0,443.0,15.0,30.0,0,object,1694324061.536,0.4776014983654022,1,8,67
979.0,514.0,17.0,33.0,0,object,1694324061.536,0.4634464085102081,1,9,46
880.0,463.0,15.0,20.0,0,ignore_area,1694324061.536,1.0,True,11,106
409.0,208.0,15.0,15.0,0,ignore_area,1694324061.536,1.0,True,14,61
831.0,702.0,19.0,39.0,0,person,1694324061.536,1.0,True,16,71
1030.0,407.0,592.0,113.0,0,ignore_area,1694324061.536,2.0,1,99,1
850.0,911.0,63.0,108.0,0,vehicle,1694324061.536,2.0,1,99,1
980.0,525.0,17.0,36.0,0,object,1694324063.571,0.4967873394489288,1,0,127
877.0,455.0,22.0,44.0,0,ignore_area,1694324063.571,0.5928046107292175,1,2,177
975.0,525.0,16.0,35.0,0,person,1694324063.571,1.0,True,4,125
967.0,413.0,14.0,25.0,0,ignore_area,1694324063.571,0.5941436290740967,1,6,139
956.0,411.0,14.0,27.0,0,object,1694324063.571,0.6041418313980103,1,8,135
793.0,799.0,25.0,70.0,0,person,1694324063.571,0.4352910220623016,1,16,213
977.0,9.0,15.0,15.0,0,person,1694324063.571,1.0,True,22,133
1065.0,455.0,49.0,35.0,0,object,1694324063.571,0.4231469929218292,1,50,102
899.0,717.0,47.0,62.0,0,object,1694324063.571,0.3888403177261352,1,62,80
276.0,215.0,14.0,15.0,0,person,1694324063.571,1.0,True,69,23
1021.0,445.0,62.0,51.0,0,object,1694324063.571,0.081862986087799,1,70,24
1314.0,257.0,15.0,16.0,0,person,1694324063.571,1.0,True,83,35
503.0,961.0,15.0,15.0,0,object,1694324063.571,0.0826672539114952,1,85,-1
1030.0,408.0,592.0,113.0,0,ignore_area,1694324063.571,2.0,1,99,1
849.0,913.0,63.0,108.0,0,vehicle,1694324063.571,2.0,1,99,1
983.0,538.0,15.0,36.0,0,object,1694324065.607,0.4234364926815033,1,0,208
883.0,460.0,16.0,31.0,0,person,1694324065.607,1.0,True,2,301
975.0,539.0,15.0,34.0,0,person,1694324065.607,1.0,True,4,205
977.0,387.0,14.0,23.0,0,ignore_area,1694324065.607,0.5575219392776489,1,6,206
968.0,383.0,14.0,26.0,0,object,1694324065.607,0.5675912499427795,1,8,203
84.0,239.0,14.0,14.0,0,object,1694324065.607,0.1892063468694687,1,18,114
872.0,354.0,49.0,43.0,0,object,1694324065.607,0.083895519375801,1,19,108
1063.0,455.0,52.0,35.0,0,object,1694324065.607,0.1131613552570343,1,50,181
394.0,209.0,15.0,15.0,0,person,1694324065.607,1.0,True,51,97
920.0,585.0,38.0,43.0,0,vehicle,1694324065.607,1.0,True,62,153
744.0,956.0,34.0,89.0,0,object,1694324065.607,0.5242419838905334,1,96,89
536.0,251.0,15.0,15.0,0,object,1694324065.607,0.2198145389556884,1,119,6
1.0,305.0,14.0,15.0,0,object,1694324065.607,0.1826586276292801,1,121,16
1278.0,746.0,15.0,15.0,0,object,1694324065.607,0.1222996041178703,1,126,1
1030.0,409.0,592.0,113.0,0,ignore_area,1694324065.607,2.0,1,99,1
857.0,838.0,47.0,80.0,0,vehicle,1694324065.607,2.0,1,99,1
985.0,555.0,15.0,37.0,0,person,1694324067.642,1.0,True,0,305
886.0,451.0,16.0,32.0,0,person,1694324067.642,1.0,True,2,460
