bbox_x,bbox_y,bbox_w,bbox_h,class_id,label,timestamp,confidence,real_detection,track_id,n
1890.0,394.0,14.0,15.0,0,object,1694312672.238,0.517983078956604,1,0,121
543.0,2.0,14.0,15.0,0,object,1694312672.238,1.0,True,1,113
1163.3964888343182,799.2843161069399,14.8,15.0,0,object,1694312672.238,,0,2,114
439.45,218.35,14.6,15.0,0,object,1694312672.238,,0,4,261
534.0000000000001,1.3898983808986607,14.0,15.0,0,object,1694312672.238,,0,5,113
928.0,503.0,15.0,15.0,0,object,1694312672.238,0.3940476477146148,1,6,145
937.0,510.0,15.0,15.0,0,object,1694312672.238,0.4805212914943695,1,7,162
1068.0,679.0,14.0,15.0,0,object,1694312672.238,1.0,True,8,233
576.15,382.35,15.0,15.0,0,object,1694312672.238,,0,9,207
1200.0,812.0,15.0,15.0,0,object,1694312672.238,1.0,True,12,49
583.25,388.6999999999999,15.0,15.2,0,object,1694312672.238,,0,13,33
1045.2559352152225,668.737513026314,15.0,15.0,0,object,1694312672.238,,0,14,22
875.9768888783515,446.4053459291467,14.8,15.0,0,object,1694312672.238,,0,15,9
886.0,446.0,14.0,15.0,0,object,1694312672.238,1.0,True,16,12
885.0,441.0,15.0,15.0,0,object,1694312672.238,0.3262281715869903,1,17,12
904.9772743692748,446.00000000000017,14.5,15.0,0,object,1694312672.238,,0,18,9
882.0,439.0,15.0,15.0,0,object,1694312672.238,0.1581314355134964,1,19,10
541.0000000000002,-1.0319981256984103,14.0,12.8,0,object,1694312675.975,,0,1,225
532.0,-4.292525038870803,14.0,14.8,0,object,1694312675.975,,0,5,225
878.0,457.0,15.0,15.0,0,object,1694312675.975,0.1526903063058853,1,6,304
889.0,462.0,15.0,15.0,0,object,1694312675.975,0.6210039258003235,1,7,302
577.9,382.3,14.4,15.2,0,object,1694312675.975,,0,8,487
1154.0,789.0,15.0,15.0,0,object,1694312675.975,0.2566787600517273,1,14,134
870.0,429.0,14.0,15.0,0,object,1694312675.975,0.4745201468467712,1,16,235
435.8499999999999,214.45,14.6,15.0,0,object,1694312675.975,,0,17,146
1459.0,1002.0,14.0,15.0,0,object,1694312675.975,0.6042139530181885,1,24,159
1464.0,1007.0,15.0,15.0,0,object,1694312675.975,0.5557156205177307,1,26,137
1186.0,796.0,15.0,15.0,0,object,1694312675.975,0.6106054782867432,1,29,25
1192.0,804.0,15.0,14.0,0,object,1694312675.975,0.3298932015895843,1,30,36
0.0,0.0,500.0,500.0,10,ignore_frame,1694312679.712,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694312683.449,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694312687.186,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694312690.923,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694312694.66,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694312698.397,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694312702.134,2.0,1,99,1
0.0,0.0,500.0,500.0,10,ignore_frame,1694312705.871,2.0,1,99,1
1324.9999999999998,443.6788931440699,14.0,15.0,0,object,1694312709.608,,0,388,189
457.65,254.95,14.6,15.0,0,object,1694312709.608,,0,404,175
917.0,508.0,14.0,15.0,0,object,1694312709.608,0.4271554350852966,1,405,238
109.0,451.0,15.0,15.0,0,object,1694312709.608,0.6781745553016663,1,409,170
945.092394356192,20.21507722784756,14.8,15.2,0,object,1694312709.608,,0,428,96
516.85,337.8,15.0,14.8,0,object,1694312709.608,,0,444,120
846.0,352.0,15.0,15.0,0,person,1694312709.608,1.0,True,459,78
298.0,343.0,14.0,15.0,0,object,1694312709.608,0.698817253112793,1,461,75
935.9320974439488,671.1463752994671,15.0,15.0,0,object,1694312709.608,,0,464,43
1035.0,677.0,15.0,15.0,0,object,1694312709.608,0.543660044670105,1,465,59
