bbox_x,bbox_y,bbox_w,bbox_h,class_id,label,timestamp,confidence,real_detection,track_id,n
1238,811,64,68,0,object,1694336659.568,0.0852459520101547,1,0,46
1849,766,35,88,0,object,1694336659.568,0.0981068313121795,1,1,29
1404,523,44,37,0,object,1694336659.568,0.0811005160212516,1,10,37
1098,987,77,71,0,object,1694336659.568,0.1425375789403915,1,16,11
1644,612,91,50,0,object,1694336659.568,0.0887761190533638,1,20,9
1278,908,95,93,0,object,1694336659.568,0.0975713804364204,1,21,9
1675,489,26,17,0,object,1694336659.568,0.0819607004523277,1,24,4
962,949,17,25,0,object,1694336659.568,0.2068399786949157,1,26,6
958,949,16,23,0,object,1694336659.568,0.2144771665334701,1,27,4
970,955,16,21,0,object,1694336659.568,0.107419729232788,1,28,5
970,948,16,17,0,object,1694336659.568,0.1047603413462638,1,29,5
962,945,16,16,0,object,1694336659.568,0.0842499285936355,1,30,4
1710,663,41,20,0,object,1694336659.568,0.1137602254748344,1,33,1
1710,663,41,20,0,object,1694336659.568,0.1137602254748344,1,33,-1
1164,871,56,50,0,object,1694336660.636,0.1968210041522979,1,0,93
1850,766,36,95,0,object,1694336660.636,0.1810897588729858,1,1,61
1460,546,36,27,0,object,1694336660.636,0.448034405708313,1,10,84
1465,470,77,45,0,object,1694336660.636,0.1480879783630371,1,12,28
1174,859,111,144,0,object,1694336660.636,0.0821967348456382,1,16,29
984,947,15,22,0,object,1694336660.636,0.0866067484021186,1,27,62
971,942,17,32,0,object,1694336660.636,0.1042613685131073,1,29,34
1781,745,43,110,0,object,1694336660.636,0.1109199076890945,1,37,26
1768,659,47,26,0,object,1694336660.636,0.5224897265434265,1,38,26
1318,906,73,64,0,object,1694336660.636,0.0954441875219345,1,41,21
785,461,15,15,0,object,1694336660.636,0.1939107328653335,1,45,9
1093,551,14,16,0,object,1694336660.636,0.1140979453921318,1,48,4
703,467,15,15,0,object,1694336660.636,0.090059146285057,1,51,2
703,467,15,15,0,object,1694336660.636,0.090059146285057,1,51,-1
1752,813,39,89,0,object,1694336689.498,0.082615852355957,1,360,301
1457,475,82,67,0,object,1694336689.498,0.1007753014564514,1,695,212
1078,465,115,51,0,object,1694336689.498,0.0888172388076782,1,743,136
