frame_no,bbox_x,bbox_y,bbox_w,bbox_h,ignore,class_id,label,timestamp
0,0,1008,245,194,1,4,car,0.0
0,0,1008,235,194,1,4,car,0.0
0,0,1008,225,194,1,4,car,0.0
0,0,1009,215,194,1,4,car,0.0
0,0,1009,205,194,1,4,car,0.0
0,0,1010,196,194,1,4,car,0.0
0,0,1017,141,193,1,4,car,0.0
0,0,1014,169,167,1,4,car,0.0
0,0,1011,164,191,1,4,car,0.0
0,0,1017,141,193,1,4,car,0.0
0,0,1016,140,164,1,4,car,0.0
0,0,1016,141,193,1,4,car,0.0
0,0,1012,109,170,1,4,car,0.0
0,0,1021,103,156,1,4,car,0.0
0,0,996,201,193,1,4,car,0.0
0,0,984,228,193,1,4,car,0.0
0,0,979,245,195,1,4,car,0.0
0,0,975,262,196,1,4,car,0.0
0,0,970,280,198,1,4,car,0.0
0,0,966,297,199,1,4,car,0.0
0,0,961,315,201,1,4,car,0.0
0,0,957,332,202,1,4,car,0.0
0,0,952,350,204,1,4,car,0.0
0,0,948,367,205,1,4,car,0.0
0,0,944,385,207,1,4,car,0.0
1,65,1209,84,135,1,2,people,0.03861003861003861
1,59,1208,84,136,1,2,people,0.03861003861003861
1,53,1208,85,137,1,2,people,0.03861003861003861
1,35,1209,85,137,1,2,people,0.03861003861003861
1,17,1210,85,137,1,2,people,0.03861003861003861
1,8,1210,72,137,1,2,people,0.03861003861003861
2,22,1250,180,108,1,3,bicycle,0.07722007722007722
2,11,1254,180,109,1,3,bicycle,0.07722007722007722
2,0,1258,181,110,1,3,bicycle,0.07722007722007722
2,0,1259,163,110,1,3,bicycle,0.07722007722007722
2,0,1261,145,110,1,3,bicycle,0.07722007722007722
2,0,1263,127,109,1,3,bicycle,0.07722007722007722
3,371,1234,297,276,1,4,car,0.11583011583011583
3,364,1231,300,278,1,4,car,0.11583011583011583
3,357,1229,303,280,1,4,car,0.11583011583011583
3,351,1227,305,282,1,4,car,0.11583011583011583
3,344,1224,308,284,1,4,car,0.11583011583011583
3,338,1222,310,286,1,4,car,0.11583011583011583
3,331,1220,313,288,1,4,car,0.11583011583011583
3,325,1217,315,290,1,4,car,0.11583011583011583
3,318,1215,318,292,1,4,car,0.11583011583011583
3,312,1213,321,294,1,4,car,0.11583011583011583
3,305,1212,326,294,1,4,car,0.11583011583011583
3,298,1212,331,293,1,4,car,0.11583011583011583
3,291,1212,337,292,1,4,car,0.11583011583011583
3,284,1212,342,291,1,4,car,0.11583011583011583
3,277,1212,348,290,1,4,car,0.11583011583011583
3,274,1212,347,290,1,4,car,0.11583011583011583
3,271,1212,346,291,1,4,car,0.11583011583011583
3,269,1212,344,292,1,4,car,0.11583011583011583
3,266,1212,343,293,1,4,car,0.11583011583011583
3,263,1212,342,294,1,4,car,0.11583011583011583
3,261,1213,340,294,1,4,car,0.11583011583011583
3,261,1204,340,294,1,4,car,0.11583011583011583
3,261,1195,340,294,1,4,car,0.11583011583011583
3,257,1205,340,284,1,4,car,0.11583011583011583
3,252,1204,342,284,1,4,car,0.11583011583011583
3,248,1203,344,285,1,4,car,0.11583011583011583
3,244,1202,345,286,1,4,car,0.11583011583011583
3,240,1201,347,286,1,4,car,0.11583011583011583
3,235,1200,349,287,1,4,car,0.11583011583011583
3,231,1199,351,288,1,4,car,0.11583011583011583
3,227,1198,352,288,1,4,car,0.11583011583011583
3,223,1197,354,289,1,4,car,0.11583011583011583
3,219,1197,356,289,1,4,car,0.11583011583011583
3,220,1196,353,290,1,4,car,0.11583011583011583
3,221,1195,350,291,1,4,car,0.11583011583011583
3,222,1194,347,293,1,4,car,0.11583011583011583
3,223,1193,344,294,1,4,car,0.11583011583011583
3,225,1193,340,295,1,4,car,0.11583011583011583
3,210,1192,354,295,1,4,car,0.11583011583011583
3,204,1194,359,291,1,4,car,0.11583011583011583
3,198,1196,364,288,1,4,car,0.11583011583011583
3,192,1198,369,285,1,4,car,0.11583011583011583
3,179,1200,381,282,1,4,car,0.11583011583011583
3,173,1198,382,282,1,4,car,0.11583011583011583
3,168,1196,383,282,1,4,car,0.11583011583011583
3,163,1195,383,282,1,4,car,0.11583011583011583
3,158,1193,384,282,1,4,car,0.11583011583011583
3,152,1192,385,281,1,4,car,0.11583011583011583
3,147,1190,386,282,1,4,car,0.11583011583011583
3,142,1189,386,281,1,4,car,0.11583011583011583
3,137,1187,387,281,1,4,car,0.11583011583011583
3,132,1186,388,281,1,4,car,0.11583011583011583
3,120,1189,392,275,1,4,car,0.11583011583011583
3,108,1192,397,270,1,4,car,0.11583011583011583
3,97,1195,401,265,1,4,car,0.11583011583011583
3,85,1198,406,260,1,4,car,0.11583011583011583
3,73,1201,411,255,1,4,car,0.11583011583011583
3,62,1204,415,250,1,4,car,0.11583011583011583
3,50,1207,420,245,1,4,car,0.11583011583011583
3,38,1210,425,240,1,4,car,0.11583011583011583
3,27,1213,429,235,1,4,car,0.11583011583011583
3,20,1215,429,234,1,4,car,0.11583011583011583
3,13,1217,429,234,1,4,car,0.11583011583011583
3,6,1216,425,233,1,4,car,0.11583011583011583
3,0,1215,421,233,1,4,car,0.11583011583011583
3,0,1214,413,234,1,4,car,0.11583011583011583
3,0,1214,405,234,1,4,car,0.11583011583011583
3,0,1215,393,231,1,4,car,0.11583011583011583
3,0,1217,381,227,1,4,car,0.11583011583011583
3,0,1219,370,224,1,4,car,0.11583011583011583
3,0,1221,358,220,1,4,car,0.11583011583011583
3,0,1223,347,217,1,4,car,0.11583011583011583
3,0,1225,335,213,1,4,car,0.11583011583011583
3,0,1227,324,210,1,4,car,0.11583011583011583
3,0,1229,312,206,1,4,car,0.11583011583011583
3,0,1231,301,203,1,4,car,0.11583011583011583
3,0,1225,287,202,1,4,car,0.11583011583011583
3,0,1225,276,202,1,4,car,0.11583011583011583
3,0,1228,257,204,1,4,car,0.11583011583011583
3,0,1231,244,199,1,4,car,0.11583011583011583
3,0,1233,239,196,1,4,car,0.11583011583011583
3,0,1234,223,199,1,4,car,0.11583011583011583
3,0,1233,207,202,1,4,car,0.11583011583011583
3,0,1237,193,199,1,4,car,0.11583011583011583
3,0,1236,188,202,1,4,car,0.11583011583011583
3,0,1239,167,204,1,4,car,0.11583011583011583
3,0,1235,153,207,1,4,car,0.11583011583011583
3,0,1239,140,207,1,4,car,0.11583011583011583
3,0,1244,127,201,1,4,car,0.11583011583011583
3,0,1251,113,177,1,4,car,0.11583011583011583
3,0,1251,97,167,1,4,car,0.11583011583011583
3,0,1263,87,154,1,4,car,0.11583011583011583
3,0,1263,73,154,1,4,car,0.11583011583011583
3,0,1265,57,148,1,4,car,0.11583011583011583
3,0,1269,44,137,1,4,car,0.11583011583011583
4,421,990,369,220,1,4,car,0.15444015444015444
4,407,992,370,220,1,4,car,0.15444015444015444
4,393,994,372,221,1,4,car,0.15444015444015444
4,379,996,374,222,1,4,car,0.15444015444015444
4,365,998,375,222,1,4,car,0.15444015444015444
4,351,1000,377,223,1,4,car,0.15444015444015444
4,338,1003,378,223,1,4,car,0.15444015444015444
4,334,1011,373,220,1,4,car,0.15444015444015444
4,321,1006,373,214,1,4,car,0.15444015444015444
4,304,1008,383,212,1,4,car,0.15444015444015444
4,287,1010,386,214,1,4,car,0.15444015444015444
4,271,1013,388,215,1,4,car,0.15444015444015444
4,255,1016,391,216,1,4,car,0.15444015444015444
4,239,1019,393,217,1,4,car,0.15444015444015444
4,223,1022,395,218,1,4,car,0.15444015444015444
4,207,1025,398,219,1,4,car,0.15444015444015444
4,191,1028,400,220,1,4,car,0.15444015444015444
4,175,1031,402,221,1,4,car,0.15444015444015444
4,159,1034,405,222,1,4,car,0.15444015444015444
4,143,1037,407,223,1,4,car,0.15444015444015444
4,127,1040,409,224,1,4,car,0.15444015444015444
4,111,1043,412,225,1,4,car,0.15444015444015444
4,95,1046,414,226,1,4,car,0.15444015444015444
4,79,1049,416,227,1,4,car,0.15444015444015444
4,63,1052,419,228,1,4,car,0.15444015444015444
4,48,1049,441,252,1,4,car,0.15444015444015444
4,34,1058,434,244,1,4,car,0.15444015444015444
4,20,1067,427,236,1,4,car,0.15444015444015444
4,7,1076,419,228,1,4,car,0.15444015444015444
4,0,1069,425,257,1,4,car,0.15444015444015444
4,0,1075,407,251,1,4,car,0.15444015444015444
4,0,1082,389,245,1,4,car,0.15444015444015444
4,0,1088,372,239,1,4,car,0.15444015444015444
4,0,1095,354,233,1,4,car,0.15444015444015444
4,0,1102,337,227,1,4,car,0.15444015444015444
4,0,1096,402,228,1,4,car,0.15444015444015444
4,0,1102,290,226,1,4,car,0.15444015444015444
4,0,1109,276,228,1,4,car,0.15444015444015444
4,2,1107,250,225,1,4,car,0.15444015444015444
5,53,612,40,80,1,1,pedestrian,0.19305019305019305
5,51,611,40,80,1,1,pedestrian,0.19305019305019305
5,49,610,41,80,1,1,pedestrian,0.19305019305019305
5,48,609,41,80,1,1,pedestrian,0.19305019305019305
5,46,608,42,80,1,1,pedestrian,0.19305019305019305
5,45,608,42,79,1,1,pedestrian,0.19305019305019305
5,43,607,42,79,1,1,pedestrian,0.19305019305019305
5,42,606,42,79,1,1,pedestrian,0.19305019305019305
5,41,605,42,79,1,1,pedestrian,0.19305019305019305
5,40,604,42,79,1,1,pedestrian,0.19305019305019305
5,39,603,42,79,1,1,pedestrian,0.19305019305019305
5,38,602,42,79,1,1,pedestrian,0.19305019305019305
5,36,602,42,79,1,1,pedestrian,0.19305019305019305
5,34,602,42,79,1,1,pedestrian,0.19305019305019305
5,32,602,42,79,1,1,pedestrian,0.19305019305019305
5,30,602,42,79,1,1,pedestrian,0.19305019305019305
5,29,603,42,79,1,1,pedestrian,0.19305019305019305
5,26,601,42,79,1,1,pedestrian,0.19305019305019305
5,23,599,42,79,1,1,pedestrian,0.19305019305019305
5,21,597,42,79,1,1,pedestrian,0.19305019305019305
5,18,595,42,79,1,1,pedestrian,0.19305019305019305
5,16,593,42,79,1,1,pedestrian,0.19305019305019305
5,14,592,42,79,1,1,pedestrian,0.19305019305019305
5,12,591,42,79,1,1,pedestrian,0.19305019305019305
5,10,590,42,79,1,1,pedestrian,0.19305019305019305
5,8,589,42,79,1,1,pedestrian,0.19305019305019305
5,6,588,42,79,1,1,pedestrian,0.19305019305019305
5,4,587,42,79,1,1,pedestrian,0.19305019305019305
5,3,587,42,79,1,1,pedestrian,0.19305019305019305
5,3,587,42,79,1,1,pedestrian,0.19305019305019305
5,3,587,42,79,1,1,pedestrian,0.19305019305019305
5,2,584,40,79,1,1,pedestrian,0.19305019305019305
5,1,581,38,79,1,1,pedestrian,0.19305019305019305
6,191,483,41,73,1,1,pedestrian,0.23166023166023167
6,185,483,41,73,1,1,pedestrian,0.23166023166023167
6,179,483,41,74,1,1,pedestrian,0.23166023166023167
6,173,484,41,73,1,1,pedestrian,0.23166023166023167
6,167,484,41,74,1,1,pedestrian,0.23166023166023167
6,161,485,41,73,1,1,pedestrian,0.23166023166023167
6,155,485,41,74,1,1,pedestrian,0.23166023166023167
6,149,486,41,73,1,1,pedestrian,0.23166023166023167
6,143,486,41,74,1,1,pedestrian,0.23166023166023167
6,137,486,41,74,1,1,pedestrian,0.23166023166023167
6,131,487,41,74,1,1,pedestrian,0.23166023166023167
6,125,487,41,74,1,1,pedestrian,0.23166023166023167
6,119,488,41,74,1,1,pedestrian,0.23166023166023167
6,113,488,41,74,1,1,pedestrian,0.23166023166023167
6,108,489,41,74,1,1,pedestrian,0.23166023166023167
6,101,489,41,74,1,1,pedestrian,0.23166023166023167
6,95,490,41,74,1,1,pedestrian,0.23166023166023167
6,89,490,41,74,1,1,pedestrian,0.23166023166023167
6,82,491,41,74,1,1,pedestrian,0.23166023166023167
6,76,491,41,74,1,1,pedestrian,0.23166023166023167
6,70,492,41,74,1,1,pedestrian,0.23166023166023167
6,64,492,41,74,1,1,pedestrian,0.23166023166023167
6,57,493,41,74,1,1,pedestrian,0.23166023166023167
6,51,493,41,74,1,1,pedestrian,0.23166023166023167
6,45,494,41,74,1,1,pedestrian,0.23166023166023167
6,39,494,41,74,1,1,pedestrian,0.23166023166023167
6,32,495,41,74,1,1,pedestrian,0.23166023166023167
6,26,495,41,74,1,1,pedestrian,0.23166023166023167
6,20,496,41,74,1,1,pedestrian,0.23166023166023167
6,14,497,41,74,1,1,pedestrian,0.23166023166023167
6,9,497,42,74,1,1,pedestrian,0.23166023166023167
6,5,497,42,74,1,1,pedestrian,0.23166023166023167
6,0,545,17,74,1,1,pedestrian,0.23166023166023167
6,6,537,20,74,1,1,pedestrian,0.23166023166023167
6,25,535,22,74,1,1,pedestrian,0.23166023166023167
6,44,534,25,74,1,1,pedestrian,0.23166023166023167
6,56,529,25,74,1,1,pedestrian,0.23166023166023167
6,81,531,26,74,1,1,pedestrian,0.23166023166023167
6,97,529,26,74,1,1,pedestrian,0.23166023166023167
6,111,521,33,74,1,1,pedestrian,0.23166023166023167
6,132,521,25,74,1,1,pedestrian,0.23166023166023167
