frame_no,bbox_x,bbox_y,bbox_w,bbox_h,ignore,class_id,label,timestamp
0,38,666,71,88,1,1,pedestrian,0.0
0,45,662,71,91,1,1,pedestrian,0.0
0,52,658,72,95,1,1,pedestrian,0.0
0,60,654,71,99,1,1,pedestrian,0.0
0,67,651,72,102,1,1,pedestrian,0.0
0,75,647,71,106,1,1,pedestrian,0.0
0,82,643,72,110,1,1,pedestrian,0.0
0,90,640,72,113,1,1,pedestrian,0.0
0,98,639,74,114,1,1,pedestrian,0.0
0,106,638,76,115,1,1,pedestrian,0.0
0,114,638,78,115,1,1,pedestrian,0.0
0,122,637,80,116,1,1,pedestrian,0.0
0,131,636,81,117,1,1,pedestrian,0.0
0,139,636,83,117,1,1,pedestrian,0.0
0,147,635,85,118,1,1,pedestrian,0.0
0,155,634,87,119,1,1,pedestrian,0.0
0,164,634,88,120,1,1,pedestrian,0.0
0,168,634,86,120,1,1,pedestrian,0.0
0,172,635,85,119,1,1,pedestrian,0.0
0,176,635,83,119,1,1,pedestrian,0.0
0,180,636,82,118,1,1,pedestrian,0.0
0,184,636,80,118,1,1,pedestrian,0.0
0,189,637,78,117,1,1,pedestrian,0.0
0,193,638,77,116,1,1,pedestrian,0.0
0,197,638,75,116,1,1,pedestrian,0.0
0,201,639,74,115,1,1,pedestrian,0.0
0,205,639,72,115,1,1,pedestrian,0.0
0,209,640,71,114,1,1,pedestrian,0.0
0,214,641,69,113,1,1,pedestrian,0.0
0,217,644,69,109,1,1,pedestrian,0.0
0,220,647,69,105,1,1,pedestrian,0.0
0,223,650,69,101,1,1,pedestrian,0.0
0,226,653,69,97,1,1,pedestrian,0.0
0,230,657,68,92,1,1,pedestrian,0.0
0,232,658,68,92,1,1,pedestrian,0.0
0,234,659,68,92,1,1,pedestrian,0.0
0,236,660,68,92,1,1,pedestrian,0.0
0,238,661,68,92,1,1,pedestrian,0.0
0,240,663,69,91,1,1,pedestrian,0.0
0,240,661,68,93,1,1,pedestrian,0.0
0,240,659,68,95,1,1,pedestrian,0.0
0,240,658,68,96,1,1,pedestrian,0.0
0,240,656,68,98,1,1,pedestrian,0.0
0,240,655,68,99,1,1,pedestrian,0.0
0,240,653,68,101,1,1,pedestrian,0.0
0,240,652,68,103,1,1,pedestrian,0.0
0,239,644,68,109,1,1,pedestrian,0.0
0,239,637,67,114,1,1,pedestrian,0.0
0,238,630,67,119,1,1,pedestrian,0.0
0,238,623,66,124,1,1,pedestrian,0.0
0,237,616,66,129,1,1,pedestrian,0.0
0,237,609,65,134,1,1,pedestrian,0.0
0,236,602,65,139,1,1,pedestrian,0.0
0,236,595,64,144,1,1,pedestrian,0.0
0,232,590,65,143,1,1,pedestrian,0.0
0,229,585,65,142,1,1,pedestrian,0.0
0,226,581,66,140,1,1,pedestrian,0.0
0,223,576,66,139,1,1,pedestrian,0.0
